round,region,country,year,status,reports,datasets,filename,url
MICS6,East Asia and the Pacific,Kiribati,2018-2019,Completed,"Snapshots,Survey findings",Available,Kiribati MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/East%20Asia%20and%20the%20Pacific/Kiribati/2018-2019/Datasets/Kiribati%20MICS6%20Datasets.zip
MICS6,Europe and Central Asia,"North Macedonia, Republic of",2018-2019,Completed,"Snapshots,Survey findings",Available,Republic of North Macedonia MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Europe%20and%20Central%20Asia/North%20Macedonia%2C%20Republic%20of/2018-2019/Datasets/Republic%20of%20North%20Macedonia%20MICS6%20Datasets.zip
MICS6,Europe and Central Asia,"North Macedonia, Republic of (Roma Settlements)",2018-2019,Completed,"Snapshots,Survey findings",Available,Republic of North Macedonia (Roma Settlements) MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Europe%20and%20Central%20Asia/North%20Macedonia%2C%20Republic%20of%20%28Roma%20Settlements%29/2018-2019/Datasets/Republic%20of%20North%20Macedonia%20%28Roma%20Settlements%29%20MICS6%20Datasets.zip
MICS6,South Asia,Pakistan (Sindh),2018-2019,Completed,"Snapshots,Survey findings",Available,Pakistan Sindh MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/South%20Asia/Pakistan%20%28Sindh%29/2018-2019/Datasets/Pakistan%20Sindh%20MICS6%20Datasets.zip
MICS6,Latin America and Caribbean,Costa Rica,2018,Completed,"Snapshots,Survey findings",Available,Costa Rica MICS6 SPSS Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Latin%20America%20and%20Caribbean/Costa%20Rica/2018/Datasets/Costa%20Rica%20MICS6%20Datasets.zip
MICS6,West and Central Africa,Gambia,2018,Completed,"Snapshots,Survey findings",Available,The-Gambia-MICS6-Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/West%20and%20Central%20Africa/Gambia/2018/Datasets/The-Gambia-MICS6-Datasets.zip
MICS6,Europe and Central Asia,Georgia,2018,Completed,"Snapshots,Survey findings",Available,Georgia MICS6 SPSS Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Europe%20and%20Central%20Asia/Georgia/2018/Datasets/Georgia%20MICS6%20SPSS%20Datasets.zip
MICS6,Middle East and North Africa,Iraq,2018,Completed,"Snapshots,Survey findings",Available,Iraq MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Middle%20East%20and%20North%20Africa/Iraq/2018/Datasets/Iraq%20MICS6%20Datasets.zip
MICS6,Europe and Central Asia,Kyrgyzstan,2018,Completed,"Snapshots,Survey findings",Available,Kyrgyz Republic MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Europe%20and%20Central%20Asia/Kyrgyzstan/2018/Datasets/Kyrgyz%20Republic%20MICS6%20Datasets.zip
MICS6,Eastern and Southern Africa,Lesotho,2018,Completed,"Snapshots,Survey findings",Available,Lesotho_MICS6_datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Eastern%20and%20Southern%20Africa/Lesotho/2018/Datasets/Lesotho_MICS6_datasets.zip
MICS6,Eastern and Southern Africa,Madagascar,2018,Completed,"Executive summary,Snapshots,Survey findings",Available,Madagascar MICS6 SPSS dataset.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Eastern%20and%20Southern%20Africa/Madagascar/2018/Datasets/Madagascar%20MICS6%20SPSS%20dataset.zip
MICS6,East Asia and the Pacific,Mongolia,2018,Completed,"Infographic,Survey findings",Available,Mongolia MICS 2018 SPSS Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/East%20Asia%20and%20the%20Pacific/Mongolia/2018/Datasets/Mongolia%20MICS%202018%20SPSS%20Datasets.zip
MICS6,Europe and Central Asia,Montenegro,2018,Completed,"Snapshots,Survey findings",Available,Montenegro MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Europe%20and%20Central%20Asia/Montenegro/2018/Datasets/Montenegro%20MICS6%20Datasets.zip
MICS6,Europe and Central Asia,Montenegro (Roma Settlements),2018,Completed,"Snapshots,Survey findings",Available,Montenegro (Roma Settlements) MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Europe%20and%20Central%20Asia/Montenegro%20%28Roma%20Settlements%29/2018/Datasets/Montenegro%20%28Roma%20Settlements%29%20MICS6%20Datasets.zip
MICS6,Latin America and Caribbean,Suriname,2018,Completed,"Snapshots,Survey findings",Available,Suriname MICS6 SPSS Datafiles.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Latin%20America%20and%20Caribbean/Suriname/2018/Datasets/Suriname%20MICS6%20SPSS%20Datafiles.zip
MICS6,Middle East and North Africa,Tunisia,2018,Completed,"Snapshots,Survey findings",Available,Tunisia MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Middle%20East%20and%20North%20Africa/Tunisia/2018/Datasets/Tunisia%20MICS6%20Datasets.zip
MICS6,West and Central Africa,"Congo, Democratic Republic of the",2017-2018,Completed,"Snapshots,Survey findings",Available,DRCongo MICS6 SPSS Datafiles.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/West%20and%20Central%20Africa/Congo%2C%20Democratic%20Republic%20of%20the/2017-2018/Datasets/DRCongo%20MICS6%20SPSS%20Datafiles.zip
MICS6,West and Central Africa,Ghana,2017-2018,Completed,"Snapshots,Survey findings",Available,Ghana MICS6 SPSS Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/West%20and%20Central%20Africa/Ghana/2017-2018/Datasets/Ghana%20MICS6%20SPSS%20Datasets.zip
MICS6,South Asia,Pakistan (Punjab),2017-2018,Completed,"Snapshots,Survey findings",Available,Pakistan Punjab MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/South%20Asia/Pakistan%20%28Punjab%29/2017-2018/Datasets/Pakistan%20Punjab%20MICS6%20Datasets.zip
MICS6,East Asia and the Pacific,"Korea, Democratic People's Republic of",2017,Completed,"Snapshots,Survey findings",Restricted,,
MICS6,East Asia and the Pacific,Lao People's Democratic Republic,2017,Completed,Survey findings,Available,Lao PDR MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2017/Datasets/Lao%20PDR%20MICS6%20Datasets.zip
MICS6,West and Central Africa,Sierra Leone,2017,Completed,"Snapshots,Survey findings",Available,Sierra Leone MICS6 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/West%20and%20Central%20Africa/Sierra%20Leone/2017/Datasets/Sierra%20Leone%20MICS6%20Datasets.zip
MICS6,West and Central Africa,Togo,2017,Completed,Survey findings,Available,Togo MICS6 SPSS Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS6/West%20and%20Central%20Africa/Togo/2017/Datasets/Togo%20MICS6%20SPSS%20Datasets.zip
MICS5,West and Central Africa,Nigeria,2016-2017,Completed,Final,Available,Nigeria MICS5 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Nigeria/2016-2017/Datasets/Nigeria%20MICS5%20Datasets.zip
MICS5,South Asia,Pakistan (Gilgit-Baltistan),2016-2017,Completed,"Final,Key findings",Available,Pakistan (Gilgit Baltistan)_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/South%20Asia/Pakistan%20%28Gilgit-Baltistan%29/2016-2017/Datasets/Pakistan%20%28Gilgit%20Baltistan%29_MICS5_Datasets.zip
MICS5,South Asia,Pakistan (Khyber Pakhtunkhwa),2016-2017,Completed,Final,Available,Pakistan_(Khyber_Pakhtunkhwa)_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/South%20Asia/Pakistan%20%28Khyber%20Pakhtunkhwa%29/2016-2017/Datasets/Pakistan_%28Khyber_Pakhtunkhwa%29_MICS5_Datasets.zip
MICS5,West and Central Africa,Côte d'Ivoire,2016,Completed,Final,Available,Côte d'Ivoire_MICS5Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/C%C3%B4te%20d%27Ivoire/2016/Datasets/C%C3%B4te%20d%27Ivoire_MICS5Datasets.zip
MICS5,West and Central Africa,Guinea,2016,Completed,Final,Available,Guinea_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Guinea/2016/Datasets/Guinea_MICS5_Datasets.zip
MICS5,East Asia and the Pacific,Mongolia (Khuvsgul Aimag),2016,Completed,Final,Available,Mongolia (Khuvsgul Aimag)_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/East%20Asia%20and%20the%20Pacific/Mongolia%20%28Khuvsgul%20Aimag%29/2016/Datasets/Mongolia%20%28Khuvsgul%20Aimag%29_MICS5_Datasets.zip
MICS5,East Asia and the Pacific,Mongolia (Nalaikh District),2016,Completed,Final,Available,Mongolia (Nalaikh District)_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/East%20Asia%20and%20the%20Pacific/Mongolia%20%28Nalaikh%20District%29/2016/Datasets/Mongolia%20%28Nalaikh%20District%29_MICS5_Datasets.zip
MICS5,Latin America and Caribbean,Paraguay,2016,Completed,"Final,Key findings",Available,Paraguay_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/Paraguay/2016/Datasets/Paraguay_MICS5_Datasets.zip
MICS5,East Asia and the Pacific,Thailand (14 Provinces),2016,Completed,Final,Available,Thailand_14_Provinces_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/East%20Asia%20and%20the%20Pacific/Thailand%20%2814%20Provinces%29/2016/Datasets/Thailand_14_Provinces_MICS5_Datasets.zip
MICS5,Latin America and Caribbean,Belize,2015-2016,Completed,"Final,Key findings",Available,Belize_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/Belize/2015-2016/Datasets/Belize_MICS5_Datasets.zip
MICS5,West and Central Africa,Senegal (Dakar City),2015-2016,Completed,"Final,Key findings",Available,Senegal (Dakar)_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Senegal%20%28Dakar%20City%29/2015-2016/Datasets/Senegal%20%28Dakar%29_MICS5_Datasets.zip
MICS5,East Asia and the Pacific,Thailand,2015-2016,Completed,"Final,Key findings",Available,Thailand_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/East%20Asia%20and%20the%20Pacific/Thailand/2015-2016/Datasets/Thailand_MICS5_Datasets.zip
MICS5,East Asia and the Pacific,Thailand (Bangkok Small Community),2015-2016,Completed,Final,Available,Thailand Bangkok_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/East%20Asia%20and%20the%20Pacific/Thailand%20%28Bangkok%20Small%20Community%29/2015-2016/Datasets/Thailand%20Bangkok_MICS5_Datasets.zip
MICS5,Europe and Central Asia,Turkmenistan,2015-2016,Completed,"Final,Key findings",Available,Turkmenistan_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Europe%20and%20Central%20Asia/Turkmenistan/2015-2016/Datasets/Turkmenistan_MICS5_Datasets.zip
MICS5,Europe and Central Asia,Kazakhstan,2015,Completed,"Final,Key findings",Available,Kazakhstan_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Europe%20and%20Central%20Asia/Kazakhstan/2015/Datasets/Kazakhstan_MICS5_Datasets.zip
MICS5,West and Central Africa,Mali,2015,Completed,"Final,Key findings",Available,Mali_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Mali/2015/Datasets/Mali_MICS5_Datasets.zip
MICS5,West and Central Africa,Mauritania,2015,Completed,"Final,Key findings",Available,Mauritania_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Mauritania/2015/Datasets/Mauritania_MICS5_Datasets.zip
MICS5,Latin America and Caribbean,Mexico,2015,Completed,"Final,Key findings",Available,Mexico_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/Mexico/2015/Datasets/Mexico_MICS5_Datasets.zip
MICS5,West and Central Africa,Congo,2014-2015,Completed,"Final,Key findings",Available,Congo_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Congo/2014-2015/Datasets/Congo_MICS5_Datasets.zip
MICS5,West and Central Africa,Benin,2014,Completed,"Final,Key findings",Available,Benin_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Benin/2014/Datasets/Benin_MICS5_Datasets.zip
MICS5,West and Central Africa,Cameroon,2014,Completed,"Final,Key findings",Available,Cameroon_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Cameroon/2014/Datasets/Cameroon_MICS5_Datasets.zip
MICS5,Latin America and Caribbean,Cuba,2014,Completed,"Final,Key findings",Available,Cuba 2014 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/Cuba/2014/Datasets/Cuba%202014%20MICS_Datasets.zip
MICS5,Latin America and Caribbean,Dominican Republic,2014,Completed,"Final,Key findings",Available,Dominican Republic_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/Dominican%20Republic/2014/Datasets/Dominican%20Republic_MICS5_Datasets.zip
MICS5,Latin America and Caribbean,El Salvador,2014,Completed,"Final,Key findings",Available,El Salvador_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/El%20Salvador/2014/Datasets/El%20Salvador_MICS5_Datasets.zip
MICS5,Eastern and Southern Africa,Eswatini,2014,Completed,"Final,Key findings",Available,Swaziland_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Eastern%20and%20Southern%20Africa/Eswatini/2014/Datasets/Swaziland_MICS5_Datasets.zip
MICS5,West and Central Africa,Guinea-Bissau,2014,Completed,"Final,Key findings",Available,Guinea Bissau_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Guinea-Bissau/2014/Datasets/Guinea%20Bissau_MICS5_Datasets.zip
MICS5,Latin America and Caribbean,Guyana,2014,Completed,"Final,Key findings",Available,Guyana_MICS 2014_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/Guyana/2014/Datasets/Guyana_MICS%202014_Datasets.zip
MICS5,Europe and Central Asia,Kyrgyzstan,2014,Completed,"Final,Key findings",Available,Kyrgyzstan 2014 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Europe%20and%20Central%20Asia/Kyrgyzstan/2014/Datasets/Kyrgyzstan%202014%20MICS_Datasets.zip
MICS5,South Asia,Nepal,2014,Completed,"Final,Key findings",Available,Nepal 2014 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/South%20Asia/Nepal/2014/Datasets/Nepal%202014%20MICS_Datasets.zip
MICS5,Middle East and North Africa,Oman,2014,Completed,"Final,Key findings",Restricted,,
MICS5,South Asia,Pakistan (Punjab),2014,Completed,"Final,Key findings",Available,Pakistan (Punjab)_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/South%20Asia/Pakistan%20%28Punjab%29/2014/Datasets/Pakistan%20%28Punjab%29_MICS5_Datasets.zip
MICS5,South Asia,Pakistan (Sindh),2014,Completed,"Final,Key findings",Available,Pakistan (Sindh)_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/South%20Asia/Pakistan%20%28Sindh%29/2014/Datasets/Pakistan%20%28Sindh%29_MICS5_Datasets.zip
MICS5,West and Central Africa,Sao Tome and Principe,2014,Completed,"Biomarker,Final,Key findings",Available,Sao Tome and Principe 2014 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Sao%20Tome%20and%20Principe/2014/Datasets/Sao%20Tome%20and%20Principe%202014%20MICS_Datasets.zip
MICS5,Europe and Central Asia,Serbia,2014,Completed,"Final,Key findings",Available,Serbia 2014 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Europe%20and%20Central%20Asia/Serbia/2014/Datasets/Serbia%202014%20MICS_Datasets.zip
MICS5,Europe and Central Asia,Serbia (Roma Settlements),2014,Completed,"Final,Key findings",Available,Serbia (Roma Settlements) 2014 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Europe%20and%20Central%20Asia/Serbia%20%28Roma%20Settlements%29/2014/Datasets/Serbia%20%28Roma%20Settlements%29%202014%20MICS_Datasets.zip
MICS5,Middle East and North Africa,State of Palestine,2014,Completed,"Final,Key findings",Available,State of Palestine 2014 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Middle%20East%20and%20North%20Africa/State%20of%20Palestine/2014/Datasets/State%20of%20Palestine%202014%20MICS_Datasets.zip
MICS5,Middle East and North Africa,Sudan,2014,Completed,"Final,Key findings",Available,Sudan_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Middle%20East%20and%20North%20Africa/Sudan/2014/Datasets/Sudan_MICS5_Datasets.zip
MICS5,Eastern and Southern Africa,Zimbabwe,2014,Completed,"Final,Key findings",Available,Zimbabwe 2014 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Eastern%20and%20Southern%20Africa/Zimbabwe/2014/Datasets/Zimbabwe%202014%20MICS_Datasets.zip
MICS5,Middle East and North Africa,Egypt (Sub-national),2013-2014,Completed,"Final,Key findings",Available,Egypt (Sub-national) 2013-14 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Middle%20East%20and%20North%20Africa/Egypt%20%28Sub-national%29/2013-2014/Datasets/Egypt%20%28Sub-national%29%202013-14%20MICS_Datasets.zip
MICS5,Eastern and Southern Africa,Kenya (Bungoma County),2013-2014,Completed,"Final,Key findings",Available,Kenya (Bungoma County) 2013-14 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Eastern%20and%20Southern%20Africa/Kenya%20%28Bungoma%20County%29/2013-2014/Datasets/Kenya%20%28Bungoma%20County%29%202013-14%20MICS_Datasets.zip
MICS5,Eastern and Southern Africa,Kenya (Kakamega County),2013-2014,Completed,"Final,Key findings",Available,Kenya (Kakamega County) 2013-14 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Eastern%20and%20Southern%20Africa/Kenya%20%28Kakamega%20County%29/2013-2014/Datasets/Kenya%20%28Kakamega%20County%29%202013-14%20MICS_Datasets.zip
